name,birthday,nationality
Tom Hanks,1956-07-09,USA
Wagner Moura,1976-06-27,BRAZIL
Denzel Washington,1954-12-28,USA
Fernanda Montenegro,1929-10-16,BRAZIL
Leonardo DiCaprio,1974-11-11,USA
Gloria Pires,1963-08-23,BRAZIL
Brad Pitt,1963-12-18,USA
Julia Roberts,1967-10-28,USA
Cate Blanchett,1969-05-14,USA
Rodrigo Santoro,1975-08-22,BRAZIL
Meryl Streep,1949-06-22,USA
Walter Matthau,1920-10-01,USA
Fernanda Torres,1965-09-15,BRAZIL
Marlon Brando,1924-04-03,USA
Anthony Hopkins,1937-12-31,USA
Gisele Bündchen,1980-07-20,BRAZIL
Al Pacino,1940-04-25,USA
Sandra Bullock,1964-07-26,USA
Vin Diesel,1967-07-18,USA
Zezé Motta,1944-06-27,BRAZIL
Mark Wahlberg,1971-06-05,USA
Jennifer Lawrence,1990-08-15,USA
Juliana Paes,1979-03-26,BRAZIL
Johnny Depp,1963-06-09,USA
Ryan Reynolds,1976-10-23,USA
Fernanda Lima,1977-06-25,BRAZIL
Will Smith,1968-09-25,USA
Gloria Swanson,1899-03-27,USA
Christian Bale,1974-01-30,USA
Camila Pitanga,1977-06-14,BRAZIL
Dwayne Johnson,1972-05-02,USA
Sônia Braga,1950-06-08,BRAZIL
Emma Stone,1988-11-06,USA
Carmen Miranda,1909-02-09,BRAZIL
Bruce Willis,1955-03-19,USA
Julianne Moore,1960-12-03,USA
Taís Araújo,1978-11-25,BRAZIL
Robert De Niro,1943-08-17,USA
Angelina Jolie,1975-06-04,USA
Joaquin Phoenix,1974-10-28,USA
Fernanda Souza,1984-06-18,BRAZIL
Harrison Ford,1942-07-13,USA
Keanu Reeves,1964-09-02,USA
Cameron Diaz,1972-08-30,USA
Luana Piovani,1976-08-29,BRAZIL
Jared Leto,1971-12-26,USA
Carolina Dieckmann,1978-09-16,BRAZIL
Timothée Chalamet,1995-12-27,USA
